Layer #,Pass #,Time(ms),Reading
53,2,465805,713.0
53,2,465821,714.0
53,2,465838,712.0
53,2,465855,717.0
53,2,465872,715.0
53,2,465888,717.0
53,2,465904,713.0
53,2,465921,714.0
53,2,465940,714.0
53,2,465956,712.0
53,2,465972,714.0
53,2,465989,714.0
53,2,466005,716.0
53,2,466021,713.0
53,2,466039,715.0
53,2,466056,717.0
53,2,466071,715.0
53,2,466089,718.0
53,2,466105,717.0
53,2,466122,718.0
53,2,466138,717.0
53,2,466155,714.0
53,2,466172,714.0
53,2,466188,715.0
53,2,466204,715.0
53,2,466222,715.0
53,2,466238,713.0
53,2,466256,714.0
53,2,466271,715.0
53,2,466289,714.0
53,2,466305,719.0
53,2,466322,716.0
53,2,466339,717.0
53,2,466355,717.0
53,2,466371,718.0
53,2,466389,714.0
53,2,466404,715.0
53,2,466422,713.0
53,2,466438,715.0
53,2,466455,713.0
53,2,466472,716.0
53,2,466489,714.0
53,2,466505,716.0
53,2,466523,718.0
53,2,466539,718.0
53,2,466555,714.0
53,2,466572,717.0
53,2,466588,714.0
53,2,466605,717.0
53,2,466622,714.0
53,2,466638,715.0
53,2,466655,713.0
53,2,466672,716.0
53,2,466688,714.0
53,2,466705,731.0
53,2,466722,721.0
53,2,466738,708.0
53,2,466755,697.0
53,2,466772,687.0
53,2,466789,678.0
53,2,466805,667.0
53,2,466822,657.0
53,2,466839,649.0
53,2,466855,642.0
53,2,466871,630.0
53,2,466889,625.0
53,2,466905,619.0
53,2,466921,612.0
53,2,466938,604.0
53,2,466955,599.0
53,2,466972,596.0
53,2,466989,590.0
53,2,467006,588.0
53,2,467022,584.0
53,2,467038,579.0
53,2,467057,578.0
53,2,467074,574.0
53,2,467091,570.0
53,2,467108,568.0
53,2,467124,564.0
53,2,467141,559.0
53,2,467158,559.0
53,2,467174,557.0
53,2,467191,556.0
53,2,467208,555.0
53,2,467224,553.0
53,2,467242,550.0
53,2,467258,549.0
53,2,467274,549.0
53,2,467291,548.0
53,2,467308,545.0
53,2,467325,544.0
53,2,467341,540.0
53,2,467358,543.0
53,2,467375,541.0
53,2,467392,539.0
53,2,467407,539.0
53,2,467424,539.0
53,2,467441,538.0
53,2,467458,536.0
53,2,467474,536.0
53,2,467491,537.0
53,2,467507,534.0
53,2,467525,533.0
53,2,467541,535.0
53,2,467558,532.0
53,2,467575,532.0
53,2,467591,529.0
53,2,467609,532.0
53,2,467625,530.0
53,2,467641,531.0
53,2,467658,532.0
53,2,467675,530.0
53,2,467692,531.0
53,2,467708,530.0
53,2,467725,528.0
53,2,467742,529.0
53,2,467758,529.0
53,2,467775,528.0
53,2,467792,529.0
53,2,467809,531.0
53,2,467825,524.0
53,2,467842,528.0
53,2,467859,527.0
53,2,467875,527.0
53,2,467892,529.0
53,2,467909,528.0
53,2,467926,526.0
53,2,467943,527.0
53,2,467960,526.0
53,2,467975,526.0
53,2,467993,530.0
53,2,468009,526.0
53,2,468026,529.0
53,2,468043,529.0
53,2,468059,524.0
53,2,468076,526.0
53,2,468093,526.0
53,2,468109,525.0
53,2,468126,525.0
53,2,468142,525.0
53,2,468160,525.0
53,2,468177,526.0
53,2,468192,525.0
53,2,468209,527.0
53,2,468226,523.0
53,2,468242,526.0
53,2,468259,526.0
53,2,468276,529.0
53,2,468293,524.0
53,2,468309,527.0
53,2,468327,523.0
53,2,468342,525.0
53,2,468360,523.0
53,2,468377,524.0
53,2,468392,525.0
53,2,468410,524.0
53,2,468426,524.0
53,2,468443,525.0
53,2,468459,523.0
53,2,468476,526.0
53,2,468492,524.0
53,2,468509,526.0
53,2,468526,527.0
53,2,468542,524.0
53,2,468559,524.0
53,2,468576,523.0
53,2,468593,523.0
53,2,468609,523.0
53,2,468626,523.0
53,2,468643,523.0
53,2,468660,523.0
53,2,468675,523.0
53,2,468693,523.0
53,2,468709,523.0
53,2,468725,523.0
53,2,468743,523.0
53,2,468759,523.0
53,2,468776,523.0
53,2,468793,523.0
53,2,468810,523.0
53,2,468827,523.0
53,2,468843,523.0
53,2,468859,523.0
53,2,468875,523.0
53,2,468893,523.0
53,2,468910,523.0
53,2,468927,523.0
53,2,468943,523.0
53,2,468959,523.0
53,2,468977,523.0
53,2,468994,523.0
53,2,469009,523.0
53,2,469027,523.0
53,2,469043,523.0
53,2,469060,523.0
53,2,469076,523.0
53,2,469093,523.0
53,2,469109,523.0
53,3,469126,523.0
53,3,469143,523.0
53,3,469160,523.0
53,3,469176,523.0
53,3,469193,523.0
53,3,469209,432.0
53,3,469226,437.0
53,3,469243,452.0
53,3,469259,468.0
53,3,469276,483.0
53,3,469293,502.0
53,3,469309,516.0
53,3,469327,530.0
53,3,469344,543.0
53,3,469360,555.0
53,3,469377,570.0
53,3,469393,579.0
53,3,469410,593.0
53,3,469427,599.0
53,3,469444,607.0
53,3,469460,615.0
53,3,469477,621.0
53,3,469493,630.0
53,3,469510,635.0
53,3,469527,642.0
53,3,469544,648.0
53,3,469560,654.0
53,3,469577,659.0
53,3,469594,663.0
53,3,469611,668.0
53,3,469627,670.0
53,3,469643,674.0
53,3,469660,679.0
53,3,469677,680.0
53,3,469694,684.0
53,3,469711,687.0
53,3,469727,686.0
53,3,469743,688.0
53,3,469760,690.0
53,3,469777,692.0
53,3,469795,694.0
53,3,469811,696.0
53,3,469827,698.0
53,3,469844,701.0
53,3,469861,701.0
53,3,469877,704.0
53,3,469894,704.0
53,3,469910,704.0
53,3,469927,706.0
53,3,469944,707.0
53,3,469960,709.0
53,3,469977,708.0
53,3,469994,709.0
53,3,470011,710.0
53,3,470028,710.0
53,3,470044,710.0
53,3,470060,711.0
53,3,470078,711.0
53,3,470094,713.0
53,3,470111,713.0
53,3,470128,712.0
53,3,470145,713.0
53,3,470161,713.0
53,3,470177,713.0
53,3,470194,714.0
53,3,470210,714.0
53,3,470227,714.0
53,3,470244,713.0
53,3,470264,714.0
53,3,470282,714.0
53,3,470298,714.0
53,3,470315,712.0
53,3,470331,716.0
53,3,470348,715.0
53,3,470364,716.0
53,3,470381,710.0
53,3,470398,717.0
53,3,470414,715.0
53,3,470431,715.0
53,3,470447,716.0
53,3,470464,716.0
53,3,470481,716.0
53,3,470497,717.0
53,3,470514,718.0
