Layer #,Pass #,Time(ms),Reading
53,2,469799,764.0
53,2,469815,766.0
53,2,469832,763.0
53,2,469848,764.0
53,2,469865,760.0
53,2,469882,761.0
53,2,469899,760.0
53,2,469915,760.0
53,2,469933,763.0
53,2,469948,760.0
53,2,469965,761.0
53,2,469982,762.0
53,2,469999,765.0
53,2,470017,762.0
53,2,470032,764.0
53,2,470048,763.0
53,2,470065,766.0
53,2,470083,762.0
53,2,470099,760.0
53,2,470116,761.0
53,2,470133,763.0
53,2,470148,760.0
53,2,470165,761.0
53,2,470183,762.0
53,2,470200,759.0
53,2,470216,759.0
53,2,470232,767.0
53,2,470249,766.0
53,2,470266,764.0
53,2,470282,768.0
53,2,470299,762.0
53,2,470315,759.0
53,2,470333,762.0
53,2,470349,763.0
53,2,470366,761.0
53,2,470382,779.0
53,2,470399,766.0
53,2,470415,758.0
53,2,470432,743.0
53,2,470449,735.0
53,2,470465,728.0
53,2,470482,719.0
53,2,470498,708.0
53,2,470516,701.0
53,2,470532,687.0
53,2,470548,682.0
53,2,470565,669.0
53,2,470582,663.0
53,2,470599,655.0
53,2,470615,651.0
53,2,470632,645.0
53,2,470649,639.0
53,2,470666,635.0
53,2,470682,629.0
53,2,470699,626.0
53,2,470716,625.0
53,2,470732,623.0
53,2,470749,617.0
53,2,470766,615.0
53,2,470783,608.0
53,2,470800,607.0
53,2,470816,602.0
53,2,470832,599.0
53,2,470849,597.0
53,2,470866,597.0
53,2,470882,593.0
53,2,470899,590.0
53,2,470916,588.0
53,2,470932,588.0
53,2,470949,591.0
53,2,470966,591.0
53,2,470982,587.0
53,2,470999,586.0
53,2,471015,587.0
53,2,471032,581.0
53,2,471049,579.0
53,2,471065,578.0
53,2,471083,574.0
53,2,471099,576.0
53,2,471115,575.0
53,2,471132,574.0
53,2,471149,575.0
53,2,471165,573.0
53,2,471182,575.0
53,2,471199,577.0
53,2,471216,575.0
53,2,471232,576.0
53,2,471249,573.0
53,2,471266,568.0
53,2,471283,571.0
53,2,471299,569.0
53,2,471316,569.0
53,2,471332,566.0
53,2,471349,569.0
53,2,471366,566.0
53,2,471382,568.0
53,2,471399,566.0
53,2,471416,567.0
53,2,471432,570.0
53,2,471449,572.0
53,2,471465,568.0
53,2,471483,564.0
53,2,471499,569.0
53,2,471516,562.0
53,2,471532,566.0
53,2,471549,562.0
53,2,471565,566.0
53,2,471582,562.0
53,2,471599,565.0
53,2,471615,562.0
53,2,471632,566.0
53,2,471648,562.0
53,2,471665,566.0
53,2,471682,569.0
53,2,471699,567.0
53,2,471717,562.0
53,2,471732,566.0
53,2,471749,562.0
53,2,471766,565.0
53,2,471782,561.0
53,2,471799,565.0
53,2,471815,561.0
53,2,471832,564.0
53,2,471848,562.0
53,2,471866,564.0
53,2,471883,561.0
53,2,471899,567.0
53,2,471916,565.0
53,2,471932,565.0
53,2,471949,566.0
53,2,471966,562.0
53,2,471982,565.0
53,2,471999,562.0
53,2,472015,561.0
53,2,472033,560.0
53,2,472049,562.0
53,2,472066,560.0
53,2,472082,561.0
53,2,472099,560.0
53,2,472116,562.0
53,2,472132,559.0
53,2,472149,564.0
53,2,472165,565.0
53,2,472183,560.0
53,2,472200,561.0
53,2,472216,557.0
53,2,472232,563.0
53,2,472249,559.0
53,2,472266,559.0
53,2,472283,559.0
53,2,472299,559.0
53,2,472315,559.0
53,2,472332,559.0
53,2,472350,559.0
53,2,472366,559.0
53,2,472383,559.0
53,2,472399,559.0
53,2,472416,559.0
53,2,472433,559.0
53,2,472449,559.0
53,2,472465,559.0
53,2,472482,559.0
53,2,472499,559.0
53,2,472516,559.0
53,2,472533,559.0
53,2,472549,559.0
53,2,472566,559.0
53,2,472583,559.0
53,2,472599,559.0
53,2,472616,559.0
53,2,472632,559.0
53,2,472649,559.0
53,2,472666,559.0
53,2,472683,559.0
53,2,472699,559.0
53,2,472717,559.0
53,2,472733,559.0
53,2,472749,559.0
53,2,472766,559.0
53,2,472782,559.0
53,3,472800,559.0
53,3,472816,559.0
53,3,472832,559.0
53,3,472849,559.0
53,3,472866,559.0
53,3,472882,465.0
53,3,472900,457.0
53,3,472915,472.0
53,3,472932,489.0
53,3,472949,508.0
53,3,472966,528.0
53,3,472982,544.0
53,3,472999,558.0
53,3,473015,572.0
53,3,473032,584.0
53,3,473048,597.0
